,国家,新增确诊,累计确诊,死亡,治愈
0,美国,57236,2837189,131485,1191091
1,巴西,48105,1496858,61884,957692
2,俄罗斯,6710,666941,9844,437155
3,印度,20903,625544,18213,379892
4,英国,576,314992,43991,1372
5,西班牙,444,297183,28368,196958
6,秘鲁,3527,292004,10045,182097
7,智利,2498,284541,5920,249247
8,意大利,201,240961,34818,191083
9,墨西哥,6741,238511,29189,183757
10,伊朗,2566,235429,11260,196446
11,巴基斯坦,4087,221896,4551,113623
12,法国,1577,203640,29878,76927
13,土耳其,1186,202284,5167,176965
14,沙特阿拉伯,4193,201801,1802,140614
15,德国,389,196759,9012,180300
16,南非,8728,168061,2844,81999
17,孟加拉,3114,156391,1968,68048
18,加拿大,355,106643,8700,69872
19,哥伦比亚,4171,102261,3650,43481
20,卡塔尔,756,98653,121,88583
21,中国,20,85307,4648,80144
22,瑞典,780,71419,5420,4971
23,埃及,1485,71299,3120,19288
24,阿根廷,2744,69941,1403,25224
25,白俄罗斯,274,62698,405,48738
26,比利时,129,61727,9765,17073
27,印度尼西亚,1301,60695,3036,27568
28,厄瓜多尔,1211,59468,4639,28032
29,伊拉克,2312,56020,2262,29600
30,荷兰,1,50546,6132,186
31,阿联酋,400,49469,317,38664
32,科威特,813,48672,360,39276
33,乌克兰,884,47705,1227,21296
34,新加坡,169,44479,26,39429
35,哈萨克斯坦,1501,44075,188,14777
36,阿曼,1374,43929,193,26169
37,葡萄牙,328,42782,1587,28097
38,菲律宾,1531,40336,1280,11073
39,玻利维亚,1301,35528,1271,10358
40,波兰,259,35405,1507,22651
41,巴拿马,774,35237,667,16445
42,多米尼加,810,34197,765,18141
43,阿富汗,302,32324,819,17331
44,瑞士,134,32101,1965,29200
45,罗马尼亚,420,28166,1708,19545
46,巴林,423,27837,95,22583
47,以色列,1159,27611,326,17607
48,亚美尼亚,662,27320,469,15484
49,尼日利亚,626,27110,616,10801
50,爱尔兰,12,25489,1738,23364
51,洪都拉斯,858,21120,591,2190
52,危地马拉,1061,20072,843,3279
53,阿塞拜疆,1155,19267,235,10820
54,日本,75,18241,940,16298
55,加纳,393,18134,117,13550
56,奥地利,109,18050,705,16558
57,摩尔多瓦,252,17150,560,9846
58,塞尔维亚,309,15504,298,13064
59,尼泊尔,740,15259,32,6143
60,阿尔及利亚,385,14657,928,10342
61,摩洛哥,361,13215,230,9158
